                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3388,                  5.455,                 1.3096,                      0,                      0,                      0,                      0,                 1.8986,                 5.3216,                 0.9885,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.0655,                 5.0931,                  1.116,                      0,                      0,                      0,                      0,                 1.9278,                  5.205,                0.95223,             0.00012154,             0.00012154,             0.00012154
                      3,                 1.9462,                 4.5736,                 1.0519,                0.00598,                   0.05,                0.01826,                0.01446,                 2.0093,                 4.9643,                0.95475,             0.00018056,             0.00018056,             0.00018056
                      4,                 1.8923,                 3.9893,                 1.0081,                0.00903,                0.23625,                0.04423,                0.02765,                 1.9834,                 4.3411,                0.94242,             0.00023703,             0.00023703,             0.00023703
                      5,                 1.9134,                 3.5994,                 1.0015,                0.43707,                0.17836,                0.07817,                0.05101,                 2.0177,                 4.0568,                0.93544,             0.00029097,             0.00029097,             0.00029097
                      6,                 1.8511,                 3.2488,                0.99175,                0.75673,                0.06548,                0.10448,                0.06908,                 2.0146,                 3.7136,                0.93776,             0.00034238,             0.00034238,             0.00034238
                      7,                 1.7982,                 3.0593,                0.99385,                0.59501,                0.08555,                0.10478,                0.06232,                  1.961,                 3.5221,                0.92377,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.7459,                 2.8955,                0.97647,                0.57681,                0.10077,                0.13073,                 0.0828,                 1.9466,                 3.3924,                0.92818,             0.00035248,             0.00035248,             0.00035248
                      9,                  1.716,                 2.6185,                0.96696,                0.60381,                0.09288,                 0.1563,                0.09973,                 1.8536,                 3.2078,                0.91589,             0.00034456,             0.00034456,             0.00034456
                     10,                 1.6906,                 2.4043,                0.97689,                0.46422,                0.13033,                 0.1786,                0.11572,                 1.8326,                 2.9802,                  0.905,             0.00033664,             0.00033664,             0.00033664
                     11,                 1.7227,                 2.3944,                0.97038,                0.45919,                0.14117,                0.18826,                0.10387,                 1.8248,                 2.8714,                0.90925,             0.00032872,             0.00032872,             0.00032872
                     12,                 1.6892,                 2.3038,                0.96615,                0.44235,                0.19537,                0.21408,                0.12153,                 1.7573,                 2.7603,                0.89044,              0.0003208,              0.0003208,              0.0003208
                     13,                  1.619,                 2.1321,                0.94448,                0.34627,                0.25632,                0.25404,                0.14079,                 1.7939,                 2.6939,                0.90107,             0.00031288,             0.00031288,             0.00031288
                     14,                 1.6166,                 2.0636,                0.95049,                0.40639,                0.25523,                0.27909,                0.15434,                 1.7804,                 2.4463,                0.90188,             0.00030496,             0.00030496,             0.00030496
                     15,                 1.5657,                  1.988,                0.93525,                 0.4996,                0.25564,                0.27751,                0.15276,                 1.7585,                 2.3721,                0.88963,             0.00029704,             0.00029704,             0.00029704
                     16,                 1.5054,                 1.8735,                0.93744,                0.51951,                0.25411,                0.29571,                0.17039,                 1.7897,                 2.2318,                0.89514,             0.00028912,             0.00028912,             0.00028912
                     17,                 1.5658,                  1.928,                0.94736,                0.59765,                0.24487,                0.31079,                0.17666,                 1.7955,                 2.3365,                0.90192,              0.0002812,              0.0002812,              0.0002812
                     18,                 1.5671,                 1.8854,                0.93394,                0.55884,                0.30111,                0.33471,                0.18157,                 1.7407,                 2.3205,                0.89773,             0.00027328,             0.00027328,             0.00027328
                     19,                 1.5436,                 1.7736,                0.93488,                0.52112,                0.31734,                0.33363,                0.18486,                 1.6819,                 2.1069,                0.89024,             0.00026536,             0.00026536,             0.00026536
                     20,                 1.5184,                 1.7127,                 0.9302,                0.52578,                 0.3133,                0.34628,                 0.1843,                 1.7015,                 2.1525,                0.89164,             0.00025744,             0.00025744,             0.00025744
                     21,                 1.5138,                 1.7541,                0.92127,                0.64376,                0.30758,                0.36287,                0.19737,                 1.6812,                 2.0932,                0.88322,             0.00024952,             0.00024952,             0.00024952
                     22,                 1.4476,                 1.6364,                0.91553,                0.72687,                0.31507,                0.36166,                0.19326,                 1.7579,                 2.1126,                0.89367,              0.0002416,              0.0002416,              0.0002416
